AT001C1;Wien;1742638;1886443;2010474;2110355;2151946
BE001C1;Bruxelles / Brussel;1063350;1158487;1224022;1252902;1273619
BG001C1;Sofia;1091763;1114184;1102604;1106200;1102899
CZ001C1;Praha;1252480;1381564;1487311;1581954;1667394
DE001C1;Berlin;3355630;3434304;3525832;3521000;3554328
DE002C1;Hamburg;1816544;1870668;1879661;1868618;1825298
DE003C1;München;1329163;1450499;1545776;1608962;1655356
DK001K2;København;1027806;1088505;1160981;1223494;1274511
EL001K1;Athina;3124433;2971374;2744894;2581742;2397151
ES001C1;Madrid;3241919;3170109;3049634;3004017;3038433
ES002K1;Barcelona;3269849;3124346;2968592;2881235;2899499
FI001K2;Helsinki / Helsingfors;947402;1017126;1078828;1153753;1215830
FR001K1;Paris;6664922;6984601;7259227;7492601;7626295
FR003C2;Lyon;1397965;1622820;1762786;1931583;2025086
FR009C1;Lille;1117035;1158957;1174361;1181582;1169589
FR203C1;Marseille;1074284;1125289;1148446;1173219;1175368
HU001C1;Budapest;1764528;1860609;1975214;2074598;2154433
IE001K1;Dublin;1416289;1529178;1538213;1655787;1763131
IT001C1;Roma;2433446;2744509;2937999;3157334;3281307
IT002K1;Milano;3139394;3385795;3538322;3676909;3787723
IT003K1;Napoli;3146027;3288152;3308142;3351262;3257502
NL002K1;Amsterdam;982804;1036771;1083467;1105727;1114554
NL003K1;Rotterdam;984082;1034002;1071043;1090571;1093084
PL001C1;Warszawa;1758497;1910926;1921097;1946656;1917665
PL010K1;Górnośląski Związek Metropolitalny - Katowice;1811566;1847134;1774505;1672990;1574882
PT001K1;Lisboa;1727159;1734259;1748176;1771775;1781515
RO001C1;Bucuresti;1889923;1865039;1825815;1775544;1721067
SE001K1;Stockholm;1542590;1777321;2022617;2231881;2415591
UK001K2;London;7691552;8028881;8380258;8416920;8598903
UK002K1;Birmingham;2373832;2472072;2546652;2587433;2637712
UK006K1;Liverpool;1051146;1066881;1078854;1062011;1064194
UK008K1;Greater Manchester;2640826;2753358;2818903;2892115;2936350
